BD DIFF,LSI DIFF,MI DIFF,B5 DIFF,PERFORMANCE,CID
20,-2,32,-38,Excellent,C1
18,5,29,20,  GOOD,C10
17,1,-18,-11,Excellent,C100
-7,2,13,10,  POOR,C1000
-7,2,23,-11,  POOR,C1001
-7,3,-37,13,Excellent,C1002
-7,1,9,-19,Excellent,C1003
-7,3,16,0,  GOOD,C1004
-7,2,14,0,  GOOD,C1005
-7,1,0,10,Excellent,C1006
-7,-2,-29,7,  POOR,C1007
-7,4,-4,-15,  POOR,C1008
-7,0,-10,-3,  POOR,C1009
13,3,6,-6,  POOR,C101
-7,-7,-9,5,  AVERAGE,C1010
-7,0,6,1,  GOOD,C1011
-7,-1,1,-23,  GOOD,C1012
-7,6,-4,19,Excellent,C1013
-7,-2,1,3,Excellent,C1014
-7,-2,-9,-6,  POOR,C1015
-7,0,-39,2,  AVERAGE,C1016
-7,0,18,27,  GOOD,C1017
-7,0,17,-21,  GOOD,C1018
-7,1,21,15,Excellent,C1019
-5,-2,-64,23,Excellent,C102
-7,-1,-21,33,  POOR,C1020
-7,-3,-17,-2,  POOR,C1021
2.333333333,0,-22,30,  POOR,C1022
-7,-3,13,-9,  POOR,C1023
-7,2,2,12,  AVERAGE,C1024
-7,-1,-13,4,  AVERAGE,C1025
-7,2,11,-16,Excellent,C1026
-7,7,-38,3,  GOOD,C1027
-7,-5,41,14,  ,C1028
-7,-5,9,5,  ,C1029
1,0,19,1,  POOR,C103
-7,4,17,-11,  POOR,C1030
-7,-1,-11,4,  POOR,C1031
-7,3,18,-11,  POOR,C1032
-7,2,-5,-3,Excellent,C1033
-7,3,47,-14,Excellent,C1034
-7,1,-24,9,Excellent,C1035
-6.333333333,30,39,13,Excellent,C1036
-7,-3,-50,28,  GOOD,C1037
-7,0,33,3,  GOOD,C1038
-7,0,-21,-8,  GOOD,C1039
3,3,-32,3,  AVERAGE,C104
-7,4,5,-1,  POOR,C1040
-7,3,29,-8,  POOR,C1041
-7,4,-2,6,  POOR,C1042
-7,-2,49,-3,  POOR,C1043
-7,1,8,33,  POOR,C1044
-7,2,-31,-12,  POOR,C1045
-7,-3,16,-1,  POOR,C1046
-7,5,-32,-4,  POOR,C1047
-11,-7,21,4,  POOR,C1048
-7,-6,-24,20,  POOR,C1049
-17,3,-28,51,  GOOD,C105
-7,-1,16,16,Excellent,C1050
-7,2,6,-5,Excellent,C1051
-7,-4,-5,-9,  POOR,C1052
-7,-1,-21,7,  POOR,C1053
-7,6,-29,9,  AVERAGE,C1054
-7,-2,-24,-4,  GOOD,C1055
-7,1,-33,5,  GOOD,C1056
