CID,BL,BR,FL,FR,CE,RO,AC,AE,X,Y,Lin,Lo,Mu,Bo,Vi,Inter,Intra,Na,F1,F2,F3,F4,F5,F1,F2,F3,F4,F5,Personality
C1,17,19,16,15,10,18,17,13,-5,7,34,37,35,25,32,34,35,36,6,10,15,13,9,S,C,O,A,I,SCOAI
C10,18,17,12,18,13,22,15,15,-7,2,34,33,38,30,28,31,37,34,17,23,19,28,24,S,L,O,E,N,SLOEN
C100,17,17,17,13,15,17,15,14,-3,0,27,24,27,26,24,25,29,36,18,17,14,13,18,S,C,O,A,I,SCOAI
C1000,11,9,13,7,19,20,13,10,-10,-6,33,33,26,31,32,33,35,26,24,26,8,17,26,R,L,O,A,N,RLOAN
C1001,12,8,13,7,13,17,14,18,1,1,36,34,33,33,32,32,32,27,16,16,12,12,24,S,C,O,A,N,SCOAN
C1002,9,9,13,8,19,12,17,15,3,-2,21,26,26,26,21,31,21,27,16,23,24,20,21,S,L,U,E,N,SLUEN
C1003,11,3,13,13,15,16,15,15,-1,0,27,29,33,28,35,32,27,34,8,13,16,12,23,S,C,O,A,N,SCOAN
C1004,13,8,11,8,11,21,19,12,-9,8,32,25,39,30,32,32,29,33,18,23,16,18,16,S,L,O,A,I,SLOAI
C1005,7,11,9,13,12,14,18,18,4,6,30,32,31,29,32,35,30,31,11,25,15,15,25,S,L,O,A,N,SLOAN
C1006,7,9,15,9,14,18,16,13,-5,2,30,24,38,30,28,29,30,27,16,23,22,16,24,S,L,U,A,N,SLUAN
C1007,8,9,13,9,15,13,13,17,4,-2,26,23,26,23,26,26,25,32,21,20,24,14,19,R,L,U,A,I,RLUAI
C1008,13,4,12,11,20,15,14,15,0,-6,25,31,31,30,27,31,27,30,11,21,13,12,19,S,L,O,A,I,SLOAI
C1009,7,11,13,9,17,15,16,12,-3,-1,25,34,31,26,27,28,27,28,18,23,20,13,14,S,L,U,A,I,SLUAI
C101,14,16,16,14,12,23,14,14,-9,2,36,26,39,29,28,29,29,26,14,11,24,17,19,S,C,U,A,I,SCUAI
C1010,8,12,12,8,13,11,13,16,5,0,25,28,26,31,27,28,31,31,16,19,19,16,26,S,C,O,A,N,SCOAN
C1011,9,12,7,12,15,14,13,18,4,-2,32,31,25,34,26,38,27,29,20,22,12,24,14,R,L,O,E,I,RLOEI
C1012,9,11,9,11,10,13,14,22,9,4,31,33,36,27,24,32,33,21,9,14,13,15,17,S,C,O,A,I,SCOAI
C1013,9,11,15,5,21,15,16,14,-1,-5,27,24,32,32,35,30,27,25,22,20,25,14,29,R,L,U,A,N,RLUAN
C1014,4,9,15,12,12,15,13,18,3,1,39,35,28,28,28,28,27,24,25,23,14,11,21,R,L,O,A,N,RLOAN
C1015,12,5,11,12,14,16,14,14,-2,0,27,25,26,30,30,33,30,26,14,24,15,11,21,S,L,O,A,N,SLOAN
C1016,8,11,9,12,16,11,14,19,8,-2,26,27,35,30,23,29,25,31,20,17,14,19,23,R,C,O,A,N,RCOAN
C1017,7,8,15,11,13,21,18,8,-13,5,39,34,30,28,29,28,31,35,18,33,21,22,24,S,L,U,E,N,SLUEN
C1018,9,9,16,5,12,13,18,17,4,6,27,35,35,26,26,37,35,32,9,22,21,8,10,S,L,U,A,I,SLUAI
C1019,11,11,12,7,11,20,17,13,-7,6,28,30,36,31,31,36,35,30,10,24,27,22,23,S,L,U,E,N,SLUEN
