CID,BD,LSI,MI,PERSONALITY
C1,T1,AE,M2,P1
C10,DB,AE,M2,P13
C100,T1,AE,M3,P1
C1000,PBD,CE,M2,P9
C1001,PBD,AE,M2,P3
C1002,PBD,RO,M3,P13
C1003,PBD,AE,M2,P3
C1004,PBD,AE,M2,P6
C1005,PBD,AC,M2,P9
C1006,PBD,AE,M3,P13
C1007,PBD,RO,M3,P10
C1008,PBD,CE,M2,P6
C1009,PBD,AE,M2,P10
C101,DR,AE,M2,P7
C1010,PBD,AC,M2,P3
C1011,PBD,RO,M2,P12
C1012,PBD,AC,M3,P1
C1013,PBD,CE,M3,P14
C1014,PBD,AC,M3,P9
C1015,PBD,AE,M2,P9
C1016,PBD,RO,M3,P5
C1017,PBD,AE,M2,P13
C1018,FR,AC,M2,P10
C1019,PBD,AE,M2,P13
C102,PBD,AE,M4,P14
C1020,PBD,AE,M3,P14
C1021,PBD,AE,M3,P13
C1022,PBD,RO,M3,P12
C1023,PBD,AE,M2,P7
C1024,FR,RO,M2,P13
C1025,PBD,AC,M3,P7
C1026,FR,AE,M2,P3
C1027,PBD,CE,M3,P13
C1028,PBD,AE,M1,P13
C1029,PBD,AE,M2,P7
C103,BPBD,AE,M4,P7
C1030,PBD,CE,M2,P3
C1031,PBD,CE,M3,P9
C1032,PBD,AC,M2,P8
C1033,PBD,RO,M3,P2
C1034,PBD,RO,M1,P9
C1035,PBD,AC,M3,P6
C1036,PBD,AC,M2,P8
C1037,BR,CE,M4,P14
C1038,PBD,AC,M2,P12
C1039,PBD,RO,M2,P7
C104,PBD,CE,M3,P6
C1040,PBD,AC,M2,P3
C1041,PBD,CE,M2,P5
C1042,FR,CE,M3,P13
C1043,PBD,AE,M1,P3
C1044,PBD,AC,M4,P14
C1045,PBD,RO,M3,P6
C1046,PBD,RO,M2,P5
C1047,PBD,CE,M2,P5
C1048,PBD,CE,M2,P6
C1049,PBD,RO,M2,P12
C105,BL,CE,M3,P14
C1050,PBD,AE,M2,P14
C1051,PBD,RO,M2,P9
C1052,PBD,AE,M3,P6
C1053,FR,CE,M3,P11
C1054,BL,AE,M4,P5
C1055,PBD,CE,M3,P6
C1056,PBD,AC,M4,P8
C1057,FR,AE,M2,P13
C1058,PBD,AC,M2,P5
C1059,FR,AE,M2,P7
C106,FR,AC,M3,P13
C1060,PBD,AC,M4,P9
C1061,PBD,CE,M4,P12
C1062,FR,AC,M4,P9
C1063,PBD,AE,M3,P13
C1064,PBD,AE,M3,P9
C1065,PBD,RO,M3,P14
C1066,PBD,RO,M4,P14
C1067,PBD,AC,M2,P8
C1068,PBD,RO,M2,P14
C1069,PBD,AE,M2,P14
C107,BPBD,CE,M3,P9
C1070,FL,AC,M3,P14
C1071,PBD,CE,M3,P1
C1072,PBD,RO,M2,P6
C1073,PBD,AC,M2,P13
C1074,BL,AC,M2,P4
C1075,PBD,AE,M2,P4
C1076,PBD,AE,M5,P11
C1077,PBD,RO,M2,P9
C1078,PBD,CE,M2,P9
C1079,PBD,CE,M3,P14
C108,BPBD,CE,M3,P1
C1080,PBD,AE,M2,P14
C1081,BL,CE,M2,P7
C1082,PBD,CE,M3,P9
C1083,FR,RO,M2,P10
C1084,FR,AE,M2,P10
C1085,PBD,AE,M4,P9
C1086,PBD,CE,M2,P13
C1087,PBD,AE,M2,P14
C1088,PBD,AC,M2,P9
C1089,PBD,AE,M2,P9
C109,T1,AE,M6,P1
C1090,PBD,AE,M3,P7
C1091,PBD,RO,M4,P14
C1092,FR,AC,M2,P9
C1093,PBD,AE,M2,P14
C1094,PBD,AE,M4,P2
C1095,PBD,RO,M6,P5
C1096,PBD,AE,M2,P6
C1097,PBD,AE,M3,P13
C1098,FR,AC,M3,P3
C1099,PBD,AE,M3,P7
C11,WBD,AE,M2,P13
C110,DB,RO,M6,P1
C1100,PBD,AC,M4,P10
C1101,PBD,AC,M2,P9
C1102,FR,AE,M3,P3
C1103,DR,AE,M3,P9
C1104,PBD,CE,M1,P10
C1105,PBD,RO,M2,P2
C1106,PBD,CE,M2,P10
C1107,PBD,AE,M3,P5
C1108,FL,CE,M2,P14
C1109,PBD,AC,M2,P9
C111,BPBD,AC,M4,P14
C1110,PBD,AE,M3,P5
C1111,PBD,CE,M4,P10
C1112,BR,AE,M2,P10
C1113,PBD,AE,M4,P8
