CID,Brain,Kolb-X,Kolb-Y,Intelligence-1,Intelligence-2,Personality 
C1,BR,-5.0,7,Lo,Intra,SCOAI
C10,BL,-7.0,2,Mu,Inter,SLOEN
C100,BL,-3.0,0,Na,Intra,SCOAI
C1000,FL,-10.0,-6,Intra,Lin,RLOAN
C1001,FL,1.0,1,Lin,Lin,SCOAN
C1002,FL,3.0,-2,Inter,Intra,SLUEN
C1003,FL,-1.0,0,Vi,Intra,SCOAN
C1004,BL,-9.0,8,Mu,Intra,SLOAI
C1005,FR,4.0,6,Inter,Lo,SLOAN
C1006,FL,-5.0,2,Mu,Lin,SLUAN
C1007,FL,4.0,-2,Na,Lin,RLUAI
C1008,BL,0.0,-6,Lo,Lo,SLOAI
C1009,FL,-3.0,-1,Lo,Lo,SLUAI
C101,BR,-9.0,2,Mu,Lin,SCUAI
C1010,BR,5.0,0,Bo,Inter,SCOAN
C1011,BR,4.0,-2,Inter,Bo,RLOEI
C1012,BR,9.0,4,Mu,Lo,SCOAI
C1013,FL,-1.0,-5,Vi,Mu,RLUAN
C1014,FL,3.0,1,Lin,Lin,RLOAN
C1015,BL,-2.0,0,Inter,Bo,SLOAN
C1016,FR,8.0,-2,Mu,Intra,RCOAN
C1017,FL,-13.0,5,Lin,Intra,SLUEN
C1018,FL,4.0,6,Inter,Lo,SLUAI
C1019,FL,-7.0,6,Mu,Vi,SLUEN
C102,BL,-6.0,6,Na,Lin,RLUEN
C1020,FR,-8.0,5,Inter,Intra,RLUEN
C1021,FL,-1.0,10,Lin,Lin,SLUAN
C1022,FL,12.0,-6,Inter,Inter,RLUEI
C1023,FL,-1.0,8,Intra,Lin,SCUAN
C1024,FL,4.0,-6,Mu,Intra,SLUAN
C1025,BL,5.0,8,Bo,Vi,SCUAN
C1026,FL,-1.0,-1,Vi,Intra,SCOAN
C1027,FL,0.0,-5,Lin,Lo,SLUAN
C1028,FL,-1.0,8,Lin,Vi,SLUAN
C1029,BL,-2.0,-1,Na,Mu,SCUEI
C103,BR,1.0,7,Inter,Inter,SCUAI
C1030,BR,-3.0,-3,Bo,Vi,SCOAN
C1031,FL,1.0,-2,Lo,Mu,SLOAN
C1032,FL,8.0,1,Mu,Mu,RCOEN
C1033,FL,10.0,-6,Intra,Lo,RCOAI
C1034,BL,3.0,-6,Vi,Mu,SLOAN
C1035,FR,6.0,-1,Na,Bo,RLOAI
C1036,FR,9.0,9,Inter,Lin,RCOEN
C1037,BR,-2.0,-5,Mu,Lo,RLUAN
C1038,FL,10.0,8,Bo,Mu,RCUEI
C1039,BL,3.0,-3,Vi,Lin,SCUAN
C104,BR,0.0,-3,Lin,Lin,RLOAI
C1040,FL,7.0,3,Vi,Vi,SCOAN
C1041,FL,-3.0,-6,Lo,Intra,RCOAN
C1042,FL,2.0,-2,Inter,Lin,SLUEN
C1043,FL,2.0,6,Mu,Lo,SCOAN
C1044,FL,5.0,0,Na,Lo,RLUEN
C1045,FL,3.0,-3,Lin,Vi,SLOAI
C1046,BR,6.0,-3,Lo,Mu,RCOAN
C1047,FL,-2.0,-3,Mu,Lin,RCOAN
C1048,FL,-1.0,-6,Inter,Inter,RLOAI
C1049,FL,4.0,-2,Mu,Mu,RLUEI
C105,BL,-1.0,-2,Lo,Vi,RLUEN
C1050,BR,-8.0,1,Lo,Mu,RLUEN
C1051,FL,3.0,-5,Mu,Lin,SLOAN
C1052,FL,-3.0,3,Mu,Intra,SLOAI
C1053,FL,1.0,-4,Mu,Lin,SLUEI
C1054,BL,-5.0,5,Na,Intra,RCOAN
C1055,BL,1.0,-5,Lo,Bo,SLOAI
C1056,FL,6.0,3,Inter,Inter,RCOEN
C1057,FL,-1.0,-1,Vi,Intra,SLUAN
C1058,BL,3.0,1,Lin,Lo,RCOAN
C1059,FL,-3.0,1,Mu,Bo,SCUEN
C106,FL,5.0,2,Lo,Lo,SLUAN
C1060,FL,10.0,0,Na,Intra,RLOAN
C1061,FL,-3.0,-3,Na,Intra,RLOEI
C1062,FL,7.0,0,Inter,Mu,RLOAN
C1063,FL,-2.0,4,Mu,Vi,SLUEN
C1064,FL,2.0,1,Lo,Bo,RLOAN
C1065,FL,10.0,-5,Mu,Vi,RLUEN
C1066,BL,13.0,-2,Lo,Mu,RLUAN
C1067,BR,4.0,3,Inter,Mu,RCOEN
C1068,FL,7.0,-11,Inter,Mu,RCUAN
C1069,BL,-2.0,-1,Vi,Vi,RCUEN
C107,BR,-2.0,-3,Bo,Intra,SLOAN
C1070,FR,6.0,0,Mu,Lo,RLUEN
C1071,BR,-1.0,-5,Lin,Inter,SCOAI
C1072,BL,6.0,-3,Mu,Inter,RLOAI
C1073,BR,3.0,4,Inter,Bo,SLOEN
C1074,BL,4.0,1,Mu,Bo,SCOEN
C1075,FL,-5.0,-1,Mu,Mu,SCOEI
C1076,FL,-7.0,-1,Mu,Vi,SLUEI
C1077,FL,3.0,-3,Lo,Lo,RLOAN
C1078,BR,-3.0,-4,Mu,Lin,SLOAN
C1079,FL,-5.0,-3,Lin,Lin,RLUAN
C108,BR,-2.0,-4,Bo,Inter,SCOAI
C1080,FL,-1.0,-1,Lin,Lin,RCUEN
C1081,BL,-1.0,-3,Mu,Mu,SCUAN
C1082,FL,-7.0,-3,Mu,Intra,SLOAN
C1083,FL,6.0,-3,Lin,Lo,SLUAI
C1084,FL,0.0,3,Na,Mu,SLUAI
C1085,FL,-4.0,4,Mu,Lo,RLOAN
C1086,FL,-7.0,-3,Lin,Lin,SLOEN
C1087,BR,-1.0,3,Lo,Bo,RLUAN
C1088,FL,4.0,3,Mu,Inter,SLOAN
C1089,BL,2.0,-1,Lo,Lo,SLOAN
C109,BL,-5.0,2,Lin,Intra,SCOAI
C1090,FL,-1.0,5,Inter,Intra,SCUAI
C1091,FL,9.0,-4,Lin,Lin,RCUEN
C1092,FL,3.0,-1,Lo,Intra,SLOAN
C1093,BL,-6.0,7,Inter,Mu,RCUAN
C1094,BL,2.0,3,Na,Lo,RCOAI
C1095,BL,6.0,-4,Intra,Intra,RCOAN
C1096,FL,-6.0,2,Inter,Lo,RLOAI
C1097,FL,1.0,1,Na,Bo,SLUEN
C1098,FL,7.0,-1,Intra,Vi,SCOAN
C1099,FL,-1.0,0,Mu,Lo,SCUAN
C11,BL,0.0,1,Na,Mu,SLUAN
C110,BL,9.0,-6,Inter,Lin,SCOAI
C1100,BL,3.0,2,Mu,Vi,SLUAI
C1101,FL,6.0,1,Na,Intra,RLOAN
C1102,FL,-3.0,5,Lin,Vi,SCOAN
C1103,BR,-12.0,5,Na,Inter,SLOAN
C1104,FL,2.0,-8,Lo,Bo,SLUAI
C1105,BL,7.0,-6,Na,Lo,RCOAI
C1106,BL,-1.0,-9,Inter,Mu,RLUAI
C1107,FR,-4.0,-1,Lin,Lin,RCOAN
C1108,FR,2.0,-8,Na,Lo,RLUEN
C1109,FL,8.0,3,Inter,Inter,RLOAN
C111,BL,4.0,5,Inter,Inter,RLUEN
C1110,BL,-5.0,-1,Mu,Lo,RCOAN
C1111,FL,-3.0,-5,Na,Lo,RCUAI
C1112,BR,-2.0,3,Mu,Inter,SLUAI
C1113,BL,-3.0,-1,Lo,Intra,RCOEN
C1114,BL,0.0,1,Mu,Vi,RLOEN
C1115,FL,1.0,-2,Lo,Bo,RLUAN
C1116,BL,0.0,2,Na,Inter,SLOAI
C1117,BL,-2.0,-2,Inter,Lo,SLOAN
C1118,FL,-5.0,6,Mu,Lin,SCUAN
C1119,FL,1.0,1,Lo,Intra,RLOEN
C112,BR,2.0,-2,Mu,Bo,RCUAN
C1120,BR,-1.0,-5,Mu,Vi,SLOAN
C1121,FR,0.0,6,Mu,Lin,RCOAI
C1122,FL,-2.0,5,Mu,Intra,SLUAN
C1123,BL,-6.0,0,Mu,Bo,RLOEN
C1124,BR,-4.0,3,Inter,Lo,SCOEI
C1125,BL,-2.0,0,Mu,Vi,SCOAI
C1126,FL,-3.0,-7,Mu,Vi,SLOAI
C1127,FL,2.0,-1,Mu,Intra,SCOAN
C1128,BL,7.0,-4,Mu,Vi,SLUEN
C1129,FL,-1.0,0,Na,Inter,SLUAI
C113,BR,-8.0,-3,Lo,Intra,RCUEN
C1130,BL,-4.0,2,Lo,Lo,SCOAN
C1131,FL,3.0,-5,Mu,Lo,SCOAN
C1132,FL,-5.0,0,Lin,Intra,SLOAI
C1133,FL,-5.0,1,Lo,Inter,RCOAN
