Date	State	Account length	Area code	International plan	Voice mail plan	Number vmail messages	Total day minutes	Total day calls	Total day charge	Total eve minutes	Total eve calls	Total eve charge	Total night minutes	Total night calls	Total night charge	Total intl minutes	Total intl calls	Total intl charge	Customer service calls	Churn	Total Call Duration	Total Call Charge
08/31/09	KS	128	415	No	Yes	25	265.1	110	45.07	197.4	99	16.78	244.7	91	11.01	10	3	2.7	1	FALSE	300	72.86
09/01/09	OH	107	415	No	Yes	26	161.6	123	27.47	195.5	103	16.62	254.4	103	11.45	13.7	3	3.7	1	FALSE	329	55.54
09/02/09	NJ	137	415	No	No	0	243.4	114	41.38	121.2	110	10.3	162.6	104	7.32	12.2	5	3.29	0	FALSE	328	59
09/03/09	OH	84	408	Yes	No	0	299.4	71	50.9	61.9	88	5.26	196.9	89	8.86	6.6	7	1.78	2	FALSE	248	65.02
09/04/09	OK	75	415	Yes	No	0	166.7	113	28.34	148.3	122	12.61	186.9	121	8.41	10.1	3	2.73	3	FALSE	356	49.36
09/05/09	AL	118	510	Yes	No	0	223.4	98	37.98	220.6	101	18.75	203.9	118	9.18	6.3	6	1.7	0	FALSE	317	65.91
09/06/09	MA	121	510	No	Yes	24	218.2	88	37.09	348.5	108	29.62	212.6	118	9.57	7.5	7	2.03	3	FALSE	314	76.28
09/07/09	MO	147	415	Yes	No	0	157	79	26.69	103.1	94	8.76	211.8	96	9.53	7.1	6	1.92	0	FALSE	269	44.98
09/08/09	LA	117	408	No	No	0	184.5	97	31.37	351.6	80	29.89	215.8	90	9.71	8.7	4	2.35	1	FALSE	267	70.97
09/09/09	WV	141	415	Yes	Yes	37	258.6	84	43.96	222	111	18.87	326.4	97	14.69	11.2	5	3.02	0	FALSE	292	77.52
09/10/09	IN	65	415	No	No	0	129.1	137	21.95	228.5	83	19.42	208.8	111	9.4	12.7	6	3.43	4	TRUE	331	50.77
09/11/09	RI	74	415	No	No	0	187.7	127	31.91	163.4	148	13.89	196	94	8.82	9.1	5	2.46	0	FALSE	369	54.62
09/12/09	IA	168	408	No	No	0	128.8	96	21.9	104.9	71	8.92	141.1	128	6.35	11.2	2	3.02	1	FALSE	295	37.17
09/13/09	MT	95	510	No	No	0	156.6	88	26.62	247.6	75	21.05	192.3	115	8.65	12.3	5	3.32	3	FALSE	278	56.32
09/14/09	IA	62	415	No	No	0	120.7	70	20.52	307.2	76	26.11	203	99	9.14	13.1	6	3.54	4	FALSE	245	55.77
09/15/09	NY	161	415	No	No	0	332.9	67	56.59	317.8	97	27.01	160.6	128	7.23	5.4	9	1.46	4	TRUE	292	90.83
09/16/09	ID	85	408	No	Yes	27	196.4	139	33.39	280.9	90	23.88	89.3	75	4.02	13.8	4	3.73	1	FALSE	304	61.29
09/17/09	VT	93	510	No	No	0	190.7	114	32.42	218.2	111	18.55	129.6	121	5.83	8.1	3	2.19	3	FALSE	346	56.8
09/18/09	VA	76	510	No	Yes	33	189.7	66	32.25	212.8	65	18.09	165.7	108	7.46	10	5	2.7	1	FALSE	239	57.8
09/19/09	TX	73	415	No	No	0	224.4	90	38.15	159.5	88	13.56	192.8	74	8.68	13	2	3.51	1	FALSE	252	60.39
09/20/09	FL	147	415	No	No	0	155.1	117	26.37	239.7	93	20.37	208.8	133	9.4	10.6	4	2.86	0	FALSE	343	56.14
09/21/09	CO	77	408	No	No	0	62.4	89	10.61	169.9	121	14.44	209.6	64	9.43	5.7	6	1.54	5	TRUE	274	34.48
09/22/09	AZ	130	415	No	No	0	183	112	31.11	72.9	99	6.2	181.8	78	8.18	9.5	19	2.57	0	FALSE	289	45.49
09/23/09	SC	111	415	No	No	0	110.4	103	18.77	137.3	102	11.67	189.6	105	8.53	7.7	6	2.08	2	FALSE	310	38.97
09/24/09	VA	132	510	No	No	0	81.1	86	13.79	245.2	72	20.84	237	115	10.67	10.3	2	2.78	0	FALSE	273	45.3
09/25/09	NE	174	415	No	No	0	124.3	76	21.13	277.1	112	23.55	250.7	115	11.28	15.5	5	4.19	3	FALSE	303	55.96
09/26/09	WY	57	408	No	Yes	39	213	115	36.21	191.1	112	16.24	182.7	115	8.22	9.5	3	2.57	0	FALSE	342	60.67
09/27/09	MT	54	408	No	No	0	134.3	73	22.83	155.5	100	13.22	102.1	68	4.59	14.7	4	3.97	3	FALSE	241	40.64
09/28/09	MO	20	415	No	No	0	190	109	32.3	258.2	84	21.95	181.5	102	8.17	6.3	6	1.7	0	FALSE	295	62.42
09/29/09	HI	49	510	No	No	0	119.3	117	20.28	215.1	109	18.28	178.7	90	8.04	11.1	1	3	1	FALSE	316	46.6
09/30/09	IL	142	415	No	No	0	84.8	95	14.42	136.7	63	11.62	250.5	148	11.27	14.2	6	3.83	2	FALSE	306	37.31
10/01/09	NH	75	510	No	No	0	226.1	105	38.44	201.5	107	17.13	246.2	98	11.08	10.3	5	2.78	1	FALSE	310	66.65
10/02/09	LA	172	408	No	No	0	212	121	36.04	31.2	115	2.65	293.3	78	13.2	12.6	10	3.4	3	FALSE	314	51.89
10/03/09	AZ	12	408	No	No	0	249.6	118	42.43	252.4	119	21.45	280.2	90	12.61	11.8	3	3.19	1	TRUE	327	76.49
10/04/09	OK	57	408	No	Yes	25	176.8	94	30.06	195	75	16.58	213.5	116	9.61	8.3	4	2.24	0	FALSE	285	56.25
10/05/09	GA	72	415	No	Yes	37	220	80	37.4	217.3	102	18.47	152.8	71	6.88	14.7	6	3.97	3	FALSE	253	62.75
10/06/09	AK	36	408	No	Yes	30	146.3	128	24.87	162.5	80	13.81	129.3	109	5.82	14.5	6	3.92	0	FALSE	317	44.5
10/07/09	MA	78	415	No	No	0	130.8	64	22.24	223.7	116	19.01	227.8	108	10.25	10	5	2.7	1	FALSE	288	51.5
10/08/09	AK	136	415	Yes	Yes	33	203.9	106	34.66	187.6	99	15.95	101.7	107	4.58	10.5	6	2.84	3	FALSE	312	55.19
10/09/09	NJ	149	408	No	No	0	140.4	94	23.87	271.8	92	23.1	188.3	108	8.47	11.1	9	3	1	FALSE	294	55.44
10/10/09	GA	98	408	No	No	0	126.3	102	21.47	166.8	85	14.18	187.8	135	8.45	9.4	2	2.54	3	FALSE	322	44.1
10/11/09	MD	135	408	Yes	Yes	41	173.1	85	29.43	203.9	107	17.33	122.2	78	5.5	14.6	15	3.94	0	TRUE	270	52.26
10/12/09	AR	34	510	No	No	0	124.8	82	21.22	282.2	98	23.99	311.5	78	14.02	10	4	2.7	2	FALSE	258	59.23
10/13/09	ID	160	415	No	No	0	85.8	77	14.59	165.3	110	14.05	178.5	92	8.03	9.2	4	2.48	3	FALSE	279	36.67
10/14/09	WI	64	510	No	No	0	154	67	26.18	225.8	118	19.19	265.3	86	11.94	3.5	3	0.95	1	FALSE	271	57.31
10/15/09	OR	59	408	No	Yes	28	120.9	97	20.55	213	92	18.11	163.1	116	7.34	8.5	5	2.3	2	FALSE	305	46
10/16/09	MI	65	415	No	No	0	211.3	120	35.92	162.6	122	13.82	134.7	118	6.06	13.2	5	3.56	3	FALSE	360	55.8
10/17/09	DE	142	408	No	No	0	187	133	31.79	134.6	74	11.44	242.2	127	10.9	7.4	5	2	2	FALSE	334	54.13
10/18/09	ID	119	415	No	No	0	159.1	114	27.05	231.3	117	19.66	143.2	91	6.44	8.8	3	2.38	5	TRUE	322	53.15
10/19/09	WY	97	415	No	Yes	24	133.2	135	22.64	217.2	58	18.46	70.6	79	3.18	11	3	2.97	1	FALSE	272	44.28
10/20/09	IA	52	408	No	No	0	191.9	108	32.62	269.8	96	22.93	236.8	87	10.66	7.8	5	2.11	3	FALSE	291	66.21
10/21/09	IN	60	408	No	No	0	220.6	57	37.5	211.1	115	17.94	249	129	11.21	6.8	3	1.84	1	FALSE	301	66.65
10/22/09	VA	10	408	No	No	0	186.1	112	31.64	190.2	66	16.17	282.8	57	12.73	11.4	6	3.08	2	FALSE	235	60.54
10/23/09	UT	96	415	No	No	0	160.2	117	27.23	267.5	67	22.74	228.5	68	10.28	9.3	5	2.51	2	FALSE	252	60.25
10/24/09	WY	87	415	No	No	0	151	83	25.67	219.7	116	18.67	203.9	127	9.18	9.7	3	2.62	5	TRUE	326	53.52
10/25/09	IN	81	408	No	No	0	175.5	67	29.84	249.3	85	21.19	270.2	98	12.16	10.2	3	2.75	1	FALSE	250	63.19
10/26/09	CO	141	415	No	No	0	126.9	98	21.57	180	62	15.3	140.8	128	6.34	8	2	2.16	1	FALSE	288	43.21
10/27/09	CO	121	408	No	Yes	30	198.4	129	33.73	75.3	77	6.4	181.2	77	8.15	5.8	3	1.57	3	TRUE	283	48.28
10/28/09	WI	68	415	No	No	0	148.8	70	25.3	246.5	164	20.95	129.8	103	5.84	12.1	3	3.27	3	FALSE	337	52.09
10/29/09	OK	125	408	No	No	0	229.3	103	38.98	177.4	126	15.08	189.3	95	8.52	12	8	3.24	1	FALSE	324	62.58
10/30/09	ID	174	408	No	No	0	192.1	97	32.66	169.9	94	14.44	166.6	54	7.5	11.4	4	3.08	1	FALSE	245	54.6
10/31/09	CA	116	415	No	Yes	34	268.6	83	45.66	178.2	142	15.15	166.3	106	7.48	11.6	3	3.13	2	FALSE	331	68.29
11/01/09	MN	74	510	No	Yes	33	193.7	91	32.93	246.1	96	20.92	138	92	6.21	14.6	3	3.94	2	FALSE	279	60.06
11/02/09	SD	149	408	No	Yes	28	180.7	92	30.72	187.8	64	15.96	265.5	53	11.95	12.6	3	3.4	3	FALSE	209	58.63
11/03/09	NC	38	408	No	No	0	131.2	98	22.3	162.9	97	13.85	159	106	7.15	8.2	6	2.21	2	FALSE	301	43.3
11/04/09	WA	40	415	No	Yes	41	148.1	74	25.18	169.5	88	14.41	214.1	102	9.63	6.2	5	1.67	2	FALSE	264	49.22
11/05/09	WY	43	415	Yes	No	0	251.5	105	42.76	212.8	104	18.09	157.8	67	7.1	9.3	4	2.51	0	FALSE	276	67.95
11/06/09	MN	113	408	Yes	No	0	125.2	93	21.28	206.4	119	17.54	129.3	139	5.82	8.3	8	2.24	0	FALSE	351	44.64
11/07/09	UT	126	408	No	No	0	211.6	70	35.97	216.9	80	18.44	153.5	60	6.91	7.8	1	2.11	1	FALSE	210	61.32
11/08/09	TX	150	510	No	No	0	178.9	101	30.41	169.1	110	14.37	148.6	100	6.69	13.8	3	3.73	4	TRUE	311	51.47
11/09/09	NJ	138	408	No	No	0	241.8	93	41.11	170.5	83	14.49	295.3	104	13.29	11.8	7	3.19	3	FALSE	280	68.89
11/10/09	MN	162	510	No	Yes	46	224.9	97	38.23	188.2	84	16	254.6	61	11.46	12.1	2	3.27	0	FALSE	242	65.69
11/11/09	NM	147	510	No	No	0	248.6	83	42.26	148.9	85	12.66	172.5	109	7.76	8	4	2.16	3	FALSE	277	62.68
11/12/09	NV	90	415	No	No	0	203.4	146	34.58	226.7	117	19.27	152.4	105	6.86	7.3	4	1.97	1	FALSE	368	60.71
11/13/09	HI	85	415	No	No	0	235.8	109	40.09	157.2	94	13.36	188.2	99	8.47	12	3	3.24	0	FALSE	302	61.92
11/14/09	MN	50	415	No	No	0	157.1	90	26.71	223.3	72	18.98	181.4	111	8.16	6.1	2	1.65	1	FALSE	273	53.85
11/15/09	DC	82	415	No	No	0	300.3	109	51.05	181	100	15.39	270.1	73	12.15	11.7	4	3.16	0	TRUE	282	78.59
11/16/09	NY	144	408	No	No	0	61.6	117	10.47	77.1	85	6.55	173	99	7.79	8.2	7	2.21	4	TRUE	301	24.81
11/17/09	MN	46	415	No	No	0	214.1	72	36.4	164.4	104	13.97	177.5	113	7.99	8.2	3	2.21	2	FALSE	289	58.36
11/18/09	MD	70	408	No	No	0	170.2	98	28.93	155.2	102	13.19	228.6	76	10.29	15	2	4.05	1	FALSE	276	52.41
11/19/09	WV	144	415	No	No	0	201.1	99	34.19	303.5	74	25.8	224	119	10.08	13.2	2	3.56	1	FALSE	292	70.07
11/20/09	OR	116	415	Yes	No	0	215.4	104	36.62	204.8	79	17.41	278.5	109	12.53	12.6	5	3.4	3	FALSE	292	66.56
11/21/09	CO	55	408	No	Yes	25	165.6	123	28.15	136.1	95	11.57	175.7	90	7.91	11	2	2.97	3	FALSE	308	47.63
11/22/09	GA	70	415	No	Yes	24	249.5	101	42.42	259.7	98	22.07	222.7	68	10.02	9.8	4	2.65	1	FALSE	267	74.51
11/23/09	TX	106	510	No	No	0	210.6	96	35.8	249.2	85	21.18	191.4	88	8.61	12.4	1	3.35	2	TRUE	269	65.59
11/24/09	VT	128	510	No	Yes	29	179.3	104	30.48	225.9	86	19.2	323	78	14.54	8.6	7	2.32	0	FALSE	268	64.22
11/25/09	IN	94	408	No	No	0	157.9	105	26.84	155	101	13.18	189.6	84	8.53	8	5	2.16	4	TRUE	290	48.55
11/26/09	WV	111	510	No	No	0	214.3	118	36.43	208.5	76	17.72	182.4	98	8.21	12	2	3.24	1	FALSE	292	62.36
11/27/09	KY	74	415	No	Yes	35	154.1	104	26.2	123.4	84	10.49	202.1	57	9.09	10.9	9	2.94	2	FALSE	245	45.78
11/28/09	NJ	128	415	No	No	0	237.9	125	40.44	247.6	93	21.05	208.9	68	9.4	13.9	4	3.75	1	TRUE	286	70.89
11/29/09	DC	82	510	No	No	0	143.9	61	24.46	194.9	105	16.57	109.6	94	4.93	11.1	2	3	1	FALSE	260	45.96
11/30/09	LA	155	415	No	No	0	203.4	100	34.58	190.9	104	16.23	196	119	8.82	8.9	4	2.4	0	TRUE	323	59.63
12/01/09	AR	80	415	No	No	0	124.3	100	21.13	173	107	14.71	253.2	62	11.39	7.9	9	2.13	1	FALSE	269	47.23
12/02/09	ME	78	415	No	No	0	252.9	93	42.99	178.4	112	15.16	263.9	105	11.88	9.5	7	2.57	3	FALSE	310	70.03
12/03/09	AZ	90	415	No	No	0	179.1	71	30.45	190.6	81	16.2	127.7	91	5.75	10.6	7	2.86	3	FALSE	243	52.4
12/04/09	AK	104	408	No	No	0	278.4	106	47.33	81	113	6.89	163.2	137	7.34	9.8	5	2.65	1	FALSE	356	61.56
12/05/09	MT	73	415	No	No	0	160.1	110	27.22	213.3	72	18.13	174.1	72	7.83	13	4	3.51	0	FALSE	254	53.18
12/06/09	AZ	99	415	No	No	0	198.2	87	33.69	207.3	76	17.62	190.9	113	8.59	8.7	3	2.35	4	FALSE	276	59.9
12/07/09	MS	120	408	No	No	0	212.1	131	36.06	209.4	104	17.8	167.2	96	7.52	5.3	5	1.43	1	TRUE	331	61.38
12/08/09	ID	77	415	No	No	0	251.8	72	42.81	205.7	126	17.48	275.2	109	12.38	9.8	7	2.65	2	TRUE	307	72.67
12/09/09	IA	98	510	No	Yes	21	161.2	114	27.4	252.2	83	21.44	160.2	92	7.21	4.4	8	1.19	4	FALSE	289	56.05
12/10/09	MA	108	415	No	No	0	178.3	137	30.31	189	76	16.07	129.1	102	5.81	14.6	5	3.94	0	FALSE	315	52.19
12/11/09	VT	135	415	No	No	0	151.7	82	25.79	119	105	10.12	180	100	8.1	10.5	6	2.84	0	FALSE	287	44.01
12/12/09	KY	95	408	No	No	0	135	99	22.95	183.6	106	15.61	245.3	102	11.04	12.5	9	3.38	1	FALSE	307	49.6
12/13/09	IN	122	408	No	No	0	170.5	94	28.99	173.7	109	14.76	248.6	75	11.19	11.3	2	3.05	1	FALSE	278	54.94
12/14/09	AZ	95	408	No	No	0	238.1	65	40.48	187.2	98	15.91	190	115	8.55	11.8	4	3.19	4	FALSE	278	64.94
12/15/09	MI	36	510	No	Yes	29	281.4	102	47.84	202.2	76	17.19	187.2	113	8.42	9	6	2.43	2	FALSE	291	73.45
12/16/09	NM	93	510	No	Yes	21	117.9	131	20.04	164.5	115	13.98	217	86	9.76	9.8	3	2.65	1	FALSE	332	43.78
12/17/09	CO	141	415	No	Yes	32	148.6	91	25.26	131.1	97	11.14	219.4	142	9.87	10.1	1	2.73	1	FALSE	330	46.27
12/18/09	UT	157	408	No	No	0	229.8	90	39.07	147.9	121	12.57	241.4	108	10.86	9.6	7	2.59	3	FALSE	319	62.5
12/19/09	MI	120	408	No	No	0	165	100	28.05	317.2	83	26.96	119.2	86	5.36	8.3	8	2.24	1	FALSE	269	60.37
12/20/09	MA	103	415	No	No	0	185	117	31.45	223.3	94	18.98	222.8	91	10.03	12.6	2	3.4	2	FALSE	302	60.46
